ANOMES,CD_PRODUTO_ITEM,DC_PRODUTO_ITEM,DC_CATEGORIA_ITEM
2024-05,86951,CONDICIONADOR PROVITALIDADE PARA CABELOS QUIMICAMENTE DANIFICADOS LUMINA 300 ML,CABELOS
2024-03,86951,CONDICIONADOR PROVITALIDADE PARA CABELOS QUIMICAMENTE DANIFICADOS LUMINA 300 ML,CABELOS
2024-09,86951,CONDICIONADOR PROVITALIDADE PARA CABELOS QUIMICAMENTE DANIFICADOS LUMINA 300 ML,CABELOS
2023-10,147072,CONJUNTO EKOS TUKUMÃ,CORPO
2023-11,147072,CONJUNTO EKOS TUKUMÃ,CORPO
2023-04,99861,CONJUNTO EKOS TUKUMÃ,CORPO
2023-01,99861,CONJUNTO EKOS TUKUMÃ,CORPO
2023-03,99861,CONJUNTO EKOS TUKUMÃ,CORPO
2023-05,99861,CONJUNTO EKOS TUKUMÃ,CORPO
2023-11,155522,CONJUNTO NATURA FOTOEQUILÍBRIO PARA CRIANÇA COM ECOBAG,PROTEÇÃO SOLAR
2023-11,155523,CONJUNTO NATURA FOTOEQUILÍBRIO PARA CRIANÇA COM ECOBAG,PROTEÇÃO SOLAR
2023-07,125307,CONJUNTO NATURA MAMÃE E BEBÊ COM FRASQUEIRA,PERFUMARIA
2023-10,125307,CONJUNTO NATURA MAMÃE E BEBÊ COM FRASQUEIRA,PERFUMARIA
2023-08,125307,CONJUNTO NATURA MAMÃE E BEBÊ COM FRASQUEIRA,PERFUMARIA
2023-12,125307,CONJUNTO NATURA MAMÃE E BEBÊ COM FRASQUEIRA,PERFUMARIA
2023-06,125307,CONJUNTO NATURA MAMÃE E BEBÊ COM FRASQUEIRA,PERFUMARIA
2023-05,125307,CONJUNTO NATURA MAMÃE E BEBÊ COM FRASQUEIRA,PERFUMARIA
2024-02,125307,CONJUNTO NATURA MAMÃE E BEBÊ COM FRASQUEIRA,PERFUMARIA
2023-11,125307,CONJUNTO NATURA MAMÃE E BEBÊ COM FRASQUEIRA,PERFUMARIA
2024-01,125307,CONJUNTO NATURA MAMÃE E BEBÊ COM FRASQUEIRA,PERFUMARIA
2023-09,125307,CONJUNTO NATURA MAMÃE E BEBÊ COM FRASQUEIRA,PERFUMARIA
2023-04,125307,CONJUNTO NATURA MAMÃE E BEBÊ COM FRASQUEIRA,PERFUMARIA
